"","interception","SR1","SR2","SR4","SR5","INF","WT","RT","r2"
"70",8.57183583931249,-2.24371619006737,-0.181894373182516,-2.13898027107409,-0.448428438483909,-4.60497157682501,0.788957826434531,-4.55236497472719,0.95068604536017
"71",8.05540470917854,-2.23745446154184,-0.182091567184003,-2.10785282472515,-0.438380432469535,-4.58601159537859,0.78643031684011,-4.38629902148705,0.950023807033488
"72",8.92874415673205,-2.23042379781576,-0.181980982180774,-2.07978066213444,-0.429187471428182,-4.5667844382204,0.787875045645932,-4.21089458852947,0.949461253105324
"73",9.11150026347387,-2.22356189858105,-0.181716786770272,-2.05352839440975,-0.420727505078894,-4.59163246026849,0.792746890780485,-4.02755762321428,0.949289656244575
"74",9.32090276791185,-2.2164453293601,-0.181421060037628,-2.03010277238654,-0.412863222664745,-4.61982294474188,0.803026540599365,-3.83396035700876,0.949169580421254
"75",9.03791502930378,-2.20775570947332,-0.180956472128889,-2.00720159167586,-0.405328890242507,-4.64125089564568,0.816993075152224,-3.63363928751078,0.949067301792386
"76",10.5371041753827,-2.19767835134851,-0.180332926046521,-1.98402407892433,-0.397925132159479,-4.66819638895201,0.833815153056114,-3.44570145940338,0.949066626040041
"77",11.7383020910441,-2.19381470425628,-0.179693960054414,-1.96963496189514,-0.396546502948677,-4.75777255156599,0.854161570862523,-3.28722742840107,0.949781926725194
"78",11.880544572876,-2.25460005827454,-0.179048145319467,-2.01821518502034,-0.45965926489639,-4.85015965108407,0.881580168550443,-3.15572898598719,0.952367909045434
"79",12.3215438408363,-2.448138416993,-0.178009531763006,-2.10593762492662,-0.663733473744853,-4.93367499814925,0.912275592022069,-3.01974808837747,0.957325356195291
"80",11.0504494665951,-2.47121890608112,-0.177344559208098,-2.13534650919583,-0.697524192624862,-4.95097265530671,0.936213094159783,-2.89726544280428,0.958716709618349
"81",9.15584221689675,-2.49602954176088,-0.175722631297263,-2.27154109175493,-0.725684670298963,-4.85994334005295,0.968896193318912,-2.8588080018492,0.960616637514826
"82",6.8360101717943,-2.46077616784722,-0.172912109850471,-2.43196667420073,-0.687112511614248,-4.70640309605534,0.986933446980998,-2.89918343223846,0.961812494628266
"83",5.38417557184253,-2.43971047803117,-0.171679738733526,-2.58984410808078,-0.65867790583452,-4.48968660284114,1.00351543549171,-3.07506753190565,0.962416041398413
